SGG_nm,SGG_cd,BJD_nm,BJD_eng_nm,BJD_cd,y,avg_apt_age,avg_TF_large,cnt,rate_big_area_m2,pop_50_69,rate_buy,rate_welfare_recipient,avg_D_Sub
성북구,11290,삼선동4가,Samseon-dong 4(sa)-ga,11400,16.25515858,24,0,1,0.231121281,712.2777778,0.162162162,4.125089095,339.5590995
성북구,11290,안암동1가,Anam-dong 1(il)-ga,12100,16.28317059,18,0,1,0.170454545,672.2,0.116071429,3.088855168,551.2585209
성북구,11290,안암동3가,Anam-dong 3(sam)-ga,12300,15.6080901,49.80769231,0,2,0.198181818,672.2,0.303370787,3.088855168,390.101439
성북구,11290,보문동4가,Bomun-dong 4(sa)-ga,12600,16.0996381,12,0,1,0.345679012,650.9285714,0.088235294,3.353270552,176.9584707
성북구,11290,보문동6가,Bomun-dong 6(yuk)-ga,12800,16.48311749,8.762886598,0.5,2,0,650.9285714,0.121212121,3.353270552,238.1530983
성북구,11290,보문동3가,Bomun-dong 3(sam)-ga,13200,16.31600754,15.52777778,0,2,0.169919633,650.9285714,0.162337662,3.353270552,264.8789724
성북구,11290,정릉동,Jeongneung-dong,13300,16.08286597,18.60023725,0.04,25,0.139576402,20936.25,0.223935389,3.667090559,1263.264179
성북구,11290,길음동,Gireum-dong,13400,16.39551128,14.87039106,0.363636364,22,0.136274893,11361.5,0.119593909,2.089145891,688.6747699
성북구,11290,종암동,Jongam-dong,13500,16.25358,19.11077844,0.142857143,14,0.162885246,11214.5,0.169024045,3.761837493,556.1258271
성북구,11290,하월곡동,Hawolgok-dong,13600,16.16496969,16.05545287,0.153846154,13,0.174065987,13391.75,0.200805524,3.760917091,532.0594511
성북구,11290,상월곡동,Sangwolgok-dong,13700,16.04083919,21.25217391,0.333333333,3,0.192482916,2808.25,0.193877551,4.079284556,190.9467987
성북구,11290,장위동,Jangwi-dong,13800,16.30008897,5.424390244,0.2,10,0.059404436,16504.5,0.084494774,7.046910128,929.3564907
성북구,11290,석관동,Seokgwan-dong,13900,16.24412882,17.63194444,0.333333333,6,0.129637619,11187.5,0.141404806,5.465210826,336.7072141
강북구,11305,미아동,Mia-dong,10100,16.09858014,14.6066482,0.380952381,21,0.139249367,42423,0.156972499,6.202255155,882.4429284
강북구,11305,번동,Beon-dong,10200,16.00981365,20.65548098,0.235294118,17,0.020914252,16377,0.184955141,12.21302296,1111.324423
강북구,11305,수유동,Suyu-dong,10300,15.85479854,16.95588235,0.166666667,6,0.197308133,34845.5,0.255969436,7.511426973,873.3546296
강북구,11305,우이동,Ui-dong,10400,15.65483993,26.22857143,0,2,0,3430.5,0.21875,6.447941409,2267.268441
도봉구,11320,쌍문동,Ssangmun-dong,10500,15.83511275,29.98042169,0.083333333,24,0.019770799,24939.5,0.184013605,5.083434782,942.9508359
도봉구,11320,방학동,Banghak-dong,10600,15.81830266,27.06729475,0.074074074,27,0.127305992,26148,0.227380952,6.769197517,953.8358396
도봉구,11320,창동,Chang-dong,10700,16.16517513,27.93010753,0.222222222,36,0.139129793,38251.5,0.148243222,3.546250984,489.1698113
